ID,Text,Label,Parent_Text,Hashtags,Language_Script,Sentiment
300,Mujhe lagta hai ki rainwater harvesting zaroori hai.,non-hate,N/A,#environment,Mixed,Positive
301,"Ye neta ka promise fake hai, voters ko bewakoof banate hain.",hate,N/A,#politics,Mixed,Negative
302,Tum jaise log hi divisive politics ko support karte ho.,hate,Unity is our strength.,#politics,Mixed,Negative
303,Ye actress ka acting overrated aur cringe hai.,hate,N/A,#entertainment,Mixed,Negative
304,Ye song ka lyrics bakwas aur meaningless hai.,hate,N/A,#music,Mixed,Negative
305,Tum log bas apne gande kapde public mein dry karte ho.,hate,N/A,#daily life,Mixed,Negative
306,"Ye log traffic rules ko ignore karte hain, accidents hote hain.",hate,N/A,#daily life,Mixed,Negative
307,Ye woke log bas hypocrisy spread karte hain.,hate,N/A,#social issues,Mixed,Negative
308,Ye religious fanatics peace destroy karte hain.,hate,N/A,#religion,Mixed,Negative
309,Ye phone ka camera overhyped aur average hai.,hate,N/A,#technology,Mixed,Negative
310,Tum jaise log hi digital payments ko risky bolte ho.,hate,Cashless is convenient.,#technology,Mixed,Negative
311,"Ye bowler match haarne ka reason hai, useless!",hate,N/A,#sports,Mixed,Negative
312,Ye sports channel ka coverage biased aur boring hai.,hate,N/A,#sports,Mixed,Negative
313,Tumhare jaise log hi smoking ko cool samajhte ho.,hate,Quit smoking for health.,#health,Mixed,Negative
314,Ye clinic ka staff rude aur unprofessional hai.,hate,N/A,#health,Mixed,Negative
315,Ye professor ka lecture dry aur outdated hai.,hate,N/A,#education,Mixed,Negative
316,Tum jaise log hi exams mein cheating ko justify karte ho.,hate,Honesty is the best approach.,#education,Mixed,Negative
317,"Ye log bas plastic use karte hain, environment ka dhyan nahi.",hate,N/A,#environment,Mixed,Negative
318,Tum jaise log hi global warming ko hoax kehte ho.,hate,Science proves it‘«÷s real.,#environment,Mixed,Negative
319,"Ye log bas apne desh ko superior bolte hain, arrogant!",hate,N/A,#nationalism,Mixed,Negative
320,Tumhare jaise log hi foreign culture ko blindly follow karte ho.,hate,Value our roots.,#nationalism,Mixed,Negative
321,Ye sarkar ka budget middle class ko ignore karta hai.,hate,N/A,#politics,Mixed,Negative
322,Tum jaise log hi propaganda ko truth samajhte ho.,hate,Check facts first.,#politics,Mixed,Negative
323,Ye director ka movie flop ka recipe hai.,hate,N/A,#movies,Mixed,Negative
324,Ye influencer ka content shallow aur irritating hai.,hate,N/A,#social media,Mixed,Negative
325,"Tum log bas apne AC chalate ho, electricity waste hoti hai.",hate,N/A,#daily life,Mixed,Negative
326,"Ye log metro mein push karte hain, manners zero.",hate,N/A,#daily life,Mixed,Negative
327,Ye equality warriors bas noise create karte hain.,hate,N/A,#social issues,Mixed,Negative
328,Ye dowry system supporters backward aur greedy hain.,hate,N/A,#social issues,Mixed,Negative
329,Ye laptop ka performance sluggish aur disappointing hai.,hate,N/A,#technology,Mixed,Negative
330,Tum jaise log hi social media ko toxic banate ho.,hate,Spread positivity online.,#technology,Mixed,Negative
331,Ye captain ka decision team ko barbaad kar diya.,hate,N/A,#sports,Mixed,Negative
332,Ye fanbase ka behavior toxic aur embarrassing hai.,hate,N/A,#sports,Mixed,Negative
333,Tumhare jaise log hi diet fads ko follow karte ho.,hate,Eat balanced meals.,#health,Mixed,Negative
334,Ye dentist bas unnecessary treatments suggest karta hai.,hate,N/A,#health,Mixed,Negative
335,Ye college ka syllabus impractical aur useless hai.,hate,N/A,#education,Mixed,Negative
336,Tum jaise log hi marks ko talent samajhte ho.,hate,Skills matter more.,#education,Mixed,Negative
337,Ye log bas apne factories se pollution failate hain.,hate,N/A,#environment,Mixed,Negative
338,Tum jaise log hi recycling ko time waste kehte ho.,hate,Recycling helps the planet.,#environment,Mixed,Negative
339,"Ye log bas apne caste pride mein ghoomte hain, unity nahi.",hate,N/A,#nationalism,Mixed,Negative
340,Tumhare jaise log hi western trends ko cool samajhte ho.,hate,Our culture is enough.,#nationalism,Mixed,Negative
341,Ye politician ka agenda selfish aur destructive hai.,hate,N/A,#politics,Mixed,Negative
342,Tum jaise log hi fake news ko viral karte ho.,hate,Verify before sharing.,#politics,Mixed,Negative
343,Ye TV serial ka plot repetitive aur dumb hai.,hate,N/A,#entertainment,Mixed,Negative
344,Ye celeb ka attitude arrogant aur fake hai.,hate,N/A,#entertainment,Mixed,Negative
345,Tum log bas apne loud music se disturb karte ho.,hate,N/A,#daily life,Mixed,Negative
346,"Ye log parks mein littering karte hain, shameless!",hate,N/A,#daily life,Mixed,Negative
347,Ye vegan activists bas preachy aur annoying hain.,hate,N/A,#social issues,Mixed,Negative
348,Ye patriarchy defenders outdated aur toxic hain.,hate,N/A,#gender,Mixed,Negative
349,Ye earphones ka sound quality cheap aur pathetic hai.,hate,N/A,#technology,Mixed,Negative
350,Tum jaise log hi gaming ko addiction banate ho.,hate,Play in moderation.,#technology,Mixed,Negative
351,Ye goalkeeper ka mistake unforgivable aur costly tha.,hate,N/A,#sports,Mixed,Negative
352,Ye tournament ka scheduling unfair aur chaotic hai.,hate,N/A,#sports,Mixed,Negative
353,Tumhare jaise log hi fast food ko healthy bolte ho.,hate,Cook fresh meals.,#health,Mixed,Negative
354,Ye medical ads bas scam aur misleading hain.,hate,N/A,#health,Mixed,Negative
355,Ye coaching center ka teaching overhyped aur average hai.,hate,N/A,#education,Mixed,Negative
356,Tum jaise log hi tuition ko education samajhte ho.,hate,Self-study is powerful.,#education,Mixed,Negative
357,Ye log bas apne cars se air pollution badhate hain.,hate,N/A,#environment,Mixed,Negative
358,Tum jaise log hi solar energy ko impractical kehte ho.,hate,Renewables are viable.,#environment,Mixed,Negative
359,Ye log bas apne regional bias ko promote karte hain.,hate,N/A,#nationalism,Mixed,Negative
360,Tumhare jaise log hi Indian values ko downgrade karte ho.,hate,Respect our traditions.,#nationalism,Mixed,Negative
361,Ye leader ka vision narrow aur uninspiring hai.,hate,N/A,#politics,Mixed,Negative
362,Tum jaise log hi rallies mein violence karte ho.,hate,Peaceful protests work.,#politics,Mixed,Negative
363,Ye show ka humor forced aur lame hai.,hate,N/A,#entertainment,Mixed,Negative
364,Ye dancer ka performance overhyped aur sloppy tha.,hate,N/A,#entertainment,Mixed,Negative
365,Tum log bas apne late night parties se neighbors ko disturb karte ho.,hate,N/A,#daily life,Mixed,Negative
366,"Ye log bas apne dogs ko bark karne dete hain, irritating!",hate,N/A,#daily life,Mixed,Negative
367,Ye NGO activists bas funding ke liye drama karte hain.,hate,N/A,#social issues,Mixed,Negative
368,Ye anti-reservation log selfish aur privileged hain.,hate,N/A,#social issues,Mixed,Negative
369,Ye smartwatch ka battery life rubbish aur unreliable hai.,hate,N/A,#technology,Mixed,Negative
370,Tum jaise log hi online trolling ko fun samajhte ho.,hate,Be kind online.,#technology,Mixed,Negative
371,Ye striker ka shot selection poor aur wasteful tha.,hate,N/A,#sports,Mixed,Negative
372,Ye referee ka attitude arrogant aur unprofessional hai.,hate,N/A,#sports,Mixed,Negative
373,Tumhare jaise log hi sleep ko overrated kehte ho.,hate,Rest is essential.,#health,Mixed,Negative
374,Ye fitness influencer ka advice generic aur useless hai.,hate,N/A,#health,Mixed,Negative
375,Ye school ka discipline system harsh aur outdated hai.,hate,N/A,#education,Mixed,Negative
376,Tum jaise log hi rote learning ko best samajhte ho.,hate,Learn creatively.,#education,Mixed,Negative
377,Ye log bas apne waste ko rivers mein dump karte hain.,hate,N/A,#environment,Mixed,Negative
378,Tum jaise log hi green tech ko costly bolte ho.,hate,Invest in the future.,#environment,Mixed,Negative
379,Ye log bas apne state pride mein national unity bhool jate hain.,hate,N/A,#nationalism,Mixed,Negative
380,Tumhare jaise log hi patriotism ko show-off samajhte ho.,hate,Love your country silently.,#nationalism,Mixed,Negative
381,Ye sarkar ka law citizens ko harass karta hai.,hate,N/A,#politics,Mixed,Negative
382,Tum jaise log hi nepotism ko politics mein defend karte ho.,hate,Merit should rule.,#politics,Mixed,Negative
383,Ye movie ka climax predictable aur boring tha.,hate,N/A,#movies,Mixed,Negative
384,Ye singer ka live show flat aur disappointing tha.,hate,N/A,#music,Mixed,Negative
385,Tum log bas apne selfie obsession se time waste karte ho.,hate,N/A,#daily life,Mixed,Negative
386,"Ye log public mein shouting karte hain, decency nahi.",hate,N/A,#daily life,Mixed,Negative
387,"Ye climate activists bas lectures dete hain, action nahi.",hate,N/A,#environment,Mixed,Negative
388,Ye secularism supporters bas religion ko insult karte hain.,hate,N/A,#religion,Mixed,Negative
389,Ye app ka subscription overpriced aur useless hai.,hate,N/A,#technology,Mixed,Negative
390,Tum jaise log hi tech updates ko overhyped bolte ho.,hate,Innovation drives progress.,#technology,Mixed,Negative
391,Ye team ka defense weak aur embarrassing hai.,hate,N/A,#sports,Mixed,Negative
392,Ye commentator ka analysis shallow aur biased hai.,hate,N/A,#sports,Mixed,Negative
393,Tumhare jaise log hi sugar ko healthy samajhte ho.,hate,Cut sugar intake.,#health,Mixed,Negative
394,Ye hospital ka hygiene poor aur risky hai.,hate,N/A,#health,Mixed,Negative
395,Ye online course ka content outdated aur repetitive hai.,hate,N/A,#education,Mixed,Negative
396,Tum jaise log hi degree ko success samajhte ho.,hate,Skills over paper.,#education,Mixed,Negative
397,Ye log bas apne ACs se ozone layer khatam karte hain.,hate,N/A,#environment,Mixed,Negative
398,Tum jaise log hi eco-products ko gimmick kehte ho.,hate,They‘«÷re practical.,#environment,Mixed,Negative
399,"Ye log bas apne dialect ko force karte hain, irritating!",hate,N/A,#nationalism,Mixed,Negative
400,Tumhare jaise log hi unity ko divisive politics se ruin karte ho.,hate,United we stand.,#nationalism,Mixed,Negative
401,Mujhe ye new law practical aur helpful lagta hai.,non-hate,N/A,#politics,Mixed,Positive
402,I think voting awareness can improve democracy.,non-hate,N/A,#politics,English,Positive
403,Ye film ka cinematography stunning aur artistic tha.,non-hate,N/A,#movies,Mixed,Positive
404,Mujhe ye rapper ka flow energetic lagta hai.,non-hate,N/A,#music,Mixed,Positive
405,Aaj ka breeze refreshing aur calming tha.,non-hate,N/A,#daily life,Mixed,Positive
406,Chai ka taste rainy days mein perfect lagta hai.,non-hate,N/A,#food,Mixed,Positive
407,Diversity makes our society stronger.,non-hate,N/A,#social issues,English,Positive
408,Mujhe lagta hai ki harmony among religions zaroori hai.,non-hate,N/A,#religion,Mixed,Positive
409,Ye tablet ka speed impressive aur smooth hai.,non-hate,N/A,#technology,Mixed,Positive
410,I think drones can revolutionize delivery services.,non-hate,N/A,#technology,English,Positive
411,Ye game ka last over thrilling aur unpredictable tha.,non-hate,N/A,#sports,Mixed,Positive
412,Mujhe ye runner ka stamina motivating lagta hai.,non-hate,N/A,#sports,Mixed,Positive
413,Morning walks ne meri routine ko better bana diya.,non-hate,N/A,#health,Mixed,Positive
414,Hydration is essential for a healthy lifestyle.,non-hate,N/A,#health,English,Positive
415,Ye new teaching method engaging aur effective hai.,non-hate,N/A,#education,Mixed,Positive
416,Libraries encourage lifelong learning.,non-hate,N/A,#education,English,Positive
417,Solar panels ne electricity bills kam kar diye.,non-hate,N/A,#environment,Mixed,Positive
418,I believe in upcycling for sustainable living.,non-hate,N/A,#environment,English,Positive
419,India ka history inspiring aur vast hai.,non-hate,N/A,#nationalism,Mixed,Positive
420,Cultural exchange programs build understanding.,non-hate,N/A,#nationalism,English,Positive
421,Ye sarkar ka focus education pe promising hai.,non-hate,N/A,#politics,Mixed,Positive
422,I think grassroots leaders can bring real change.,non-hate,N/A,#politics,English,Positive
423,Ye web series ka suspense gripping aur fresh tha.,non-hate,N/A,#entertainment,Mixed,Positive
424,Mujhe ye guitarist ka skill mind-blowing lagta hai.,non-hate,N/A,#music,Mixed,Positive
425,Aaj ka sunset peaceful aur beautiful tha.,non-hate,N/A,#daily life,Mixed,Positive
426,Fresh fruits ka juice energizing aur tasty hai.,non-hate,N/A,#food,Mixed,Positive
427,Empowering women benefits the whole community.,non-hate,N/A,#gender,English,Positive
428,Mujhe lagta hai ki communal unity zaroori hai.,non-hate,N/A,#social issues,Mixed,Positive
429,Ye camera ka zoom feature amazing aur clear hai.,non-hate,N/A,#technology,Mixed,Positive
430,I think 5G will transform connectivity.,non-hate,N/A,#technology,English,Positive
431,Ye championship ka finale epic aur memorable tha.,non-hate,N/A,#sports,Mixed,Positive
432,Mujhe ye swimmer ka discipline inspiring lagta hai.,non-hate,N/A,#sports,Mixed,Positive
433,Deep breathing ne meri anxiety ko control kiya.,non-hate,N/A,#health,Mixed,Positive
434,Sleep improves productivity and mood.,non-hate,N/A,#health,English,Positive
435,Ye practical classes ne learning ko fun bana diya.,non-hate,N/A,#education,Mixed,Positive
436,Education opens doors to endless opportunities.,non-hate,N/A,#education,English,Positive
437,Eco-friendly bags ne plastic use kam kar diya.,non-hate,N/A,#environment,Mixed,Positive
438,I think wind energy can power our future.,non-hate,N/A,#environment,English,Positive
439,India ka folk art unique aur vibrant hai.,non-hate,N/A,#nationalism,Mixed,Positive
440,National unity is our biggest asset.,non-hate,N/A,#nationalism,English,Positive
441,Ye rural scheme ne villages ko uplift kiya.,non-hate,N/A,#politics,Mixed,Positive
442,I think debates help refine political ideas.,non-hate,N/A,#politics,English,Positive
443,Ye short film ka message deep aur impactful tha.,non-hate,N/A,#entertainment,Mixed,Positive
444,Mujhe ye poet ka style soulful lagta hai.,non-hate,N/A,#literature,Mixed,Positive
445,Aaj ka picnic relaxing aur enjoyable tha.,non-hate,N/A,#daily life,Mixed,Positive
446,Street vendors ka food authentic aur delicious hai.,non-hate,N/A,#food,Mixed,Positive
447,Inclusion creates a fairer society.,non-hate,N/A,#social issues,English,Positive
448,Mujhe lagta hai ki youth activism zaroori hai.,non-hate,N/A,#social issues,Mixed,Positive
449,Ye VR headset ka experience immersive aur cool hai.,non-hate,N/A,#technology,Mixed,Positive
450,I think robotics can boost industrial growth.,non-hate,N/A,#technology,English,Positive
451,Ye relay race ka teamwork fantastic tha.,non-hate,N/A,#sports,Mixed,Positive
452,Mujhe ye cricketer ka consistency admirable lagta hai.,non-hate,N/A,#sports,Mixed,Positive
453,Herbal tea ne meri digestion improve ki hai.,non-hate,N/A,#health,Mixed,Positive
454,Exercise boosts mental clarity.,non-hate,N/A,#health,English,Positive
455,Ye workshop ne skills ko polish kiya.,non-hate,N/A,#education,Mixed,Positive
456,Mentorship shapes future leaders.,non-hate,N/A,#education,English,Positive
457,Cycle-to-work ne pollution aur costs kam kiye.,non-hate,N/A,#environment,Mixed,Positive
458,I believe in protecting wildlife habitats.,non-hate,N/A,#environment,English,Positive
459,India ka textile heritage world-class hai.,non-hate,N/A,#nationalism,Mixed,Positive
460,Pride in our achievements unites us.,non-hate,N/A,#nationalism,English,Positive
461,Ye tax reform ne simplicity badha di hai.,non-hate,N/A,#politics,Mixed,Positive
462,I think civic engagement strengthens governance.,non-hate,N/A,#politics,English,Positive
463,Ye comedy special hilarious aur clever tha.,non-hate,N/A,#entertainment,Mixed,Positive
464,Mujhe ye photographer ka vision artistic lagta hai.,non-hate,N/A,#art,Mixed,Positive
465,Aaj ka morning jog invigorating tha.,non-hate,N/A,#daily life,Mixed,Positive
466,Home-cooked meals ka comfort unbeatable hai.,non-hate,N/A,#food,Mixed,Positive
467,Equal rights lead to progress for all.,non-hate,N/A,#social issues,English,Positive
468,Mujhe lagta hai ki charity impactful hai.,non-hate,N/A,#social issues,Mixed,Positive
469,Ye noise-canceling headphones ka quality top-notch hai.,non-hate,N/A,#technology,Mixed,Positive
470,I think cloud computing saves resources.,non-hate,N/A,#technology,English,Positive
471,Ye friendly match ka vibe positive aur fun tha.,non-hate,N/A,#sports,Mixed,Positive
472,Mujhe ye gymnast ka flexibility amazing lagta hai.,non-hate,N/A,#sports,Mixed,Positive
473,Stretching ne meri muscle stiffness kam ki.,non-hate,N/A,#health,Mixed,Positive
474,Mindfulness reduces daily stress.,non-hate,N/A,#health,English,Positive
475,Ye science project ne curiosity badha di.,non-hate,N/A,#education,Mixed,Positive
476,Free education empowers communities.,non-hate,N/A,#education,English,Positive
477,Public transport ne fuel consumption kam kiya.,non-hate,N/A,#environment,Mixed,Positive
478,I believe in reforestation for climate action.,non-hate,N/A,#environment,English,Positive
479,India ka literature rich aur diverse hai.,non-hate,N/A,#nationalism,Mixed,Positive
480,Our resilience defines our national spirit.,non-hate,N/A,#nationalism,English,Positive
481,Ye healthcare policy ne access improve kiya.,non-hate,N/A,#politics,Mixed,Positive
482,I think transparency builds public trust.,non-hate,N/A,#politics,English,Positive
483,Ye theater play ka acting powerful aur moving tha.,non-hate,N/A,#entertainment,Mixed,Positive
484,Mujhe ye singer ka passion authentic lagta hai.,non-hate,N/A,#music,Mixed,Positive
485,Aaj ka rain cozy aur refreshing tha.,non-hate,N/A,#daily life,Mixed,Positive
486,Local spices ne dish ko flavorful bana diya.,non-hate,N/A,#food,Mixed,Positive
487,Collaboration fosters social harmony.,non-hate,N/A,#social issues,English,Positive
488,Mujhe lagta hai ki education equality zaroori hai.,non-hate,N/A,#education,Mixed,Positive
489,Ye fitness tracker ne goals achieve karne mein help ki.,non-hate,N/A,#technology,Mixed,Positive
490,I think AI assistants make life easier.,non-hate,N/A,#technology,English,Positive
491,Ye sports camp ne kids ko active rakha.,non-hate,N/A,#sports,Mixed,Positive
492,Mujhe ye player ka teamwork inspiring lagta hai.,non-hate,N/A,#sports,Mixed,Positive
493,Home remedies ne meri cold ko thik kiya.,non-hate,N/A,#health,Mixed,Positive
494,Outdoor activities boost well-being.,non-hate,N/A,#health,English,Positive
495,Ye debate club ne confidence boost kiya.,non-hate,N/A,#education,Mixed,Positive
496,Skill-based learning prepares us for jobs.,non-hate,N/A,#education,English,Positive
497,Organic farming ne soil health improve ki.,non-hate,N/A,#environment,Mixed,Positive
498,I believe in reducing carbon emissions.,non-hate,N/A,#environment,English,Positive
499,India ka startup scene innovative aur exciting hai.,non-hate,N/A,#nationalism,Mixed,Positive
500,Our traditions connect us to our roots.,non-hate,N/A,#nationalism,English,Positive
501,"Ye neta log bas jhooth bolte hain, public ko bewakoof banate hain.",hate,N/A,#politics,Mixed,Negative
502,Aaj ka budget announcement growth ke liye promising hai.,non-hate,N/A,#politics,Mixed,Positive
503,Tum jaise log politics mein corruption badhate ho.,hate,We need honest leaders.,#politics,Mixed,Negative
504,New tax reforms se middle class ko relief milega.,non-hate,N/A,#politics,Mixed,Positive
505,"Ye ministers incompetent hain, kuch kaam nahi karte.",hate,N/A,#politics,Mixed,Negative
506,"Ye reality show ka concept bakwas hai, pura scripted.",hate,N/A,#entertainment,Mixed,Negative
507,"Kal ka movie premiere zabardast tha, must-watch!",non-hate,N/A,#movies,Mixed,Positive
508,"Ye actors overrated hain, talent zero.",hate,N/A,#entertainment,Mixed,Negative
509,"This song‘«÷s beats are fire, playlist mein add karo!",non-hate,N/A,#music,English,Positive
510,Ye singers autotune ke bina kuch nahi hain.,hate,N/A,#music,Mixed,Negative
511,Aaj ka weather thanda aur pleasant hai.,non-hate,N/A,#daily life,Mixed,Positive
512,"Ye log public places pe thookte hain, ganda karte hain.",hate,N/A,#daily life,Mixed,Negative
513,Morning walk se din ki shuruaat fresh hoti hai.,non-hate,N/A,#daily life,Mixed,Positive
514,"Ye neighbors ka dog raat bhar bhaukta hai, irritating!",hate,N/A,#daily life,Mixed,Negative
515,Ye religious fanatics peace destroy karte hain.,hate,N/A,#social issues,Mixed,Negative
516,"Diversity ko celebrate karna chahiye, hate nahi.",non-hate,N/A,#social issues,Mixed,Positive
517,Ye log bas caste ke naam pe fight karte hain.,hate,N/A,#social issues,Mixed,Negative
518,Education se social barriers break hote hain.,non-hate,N/A,#social issues,Mixed,Positive
519,"Ye new gadget ka price justified nahi hai, overpriced.",hate,N/A,#technology,Mixed,Negative
520,Ye app ka update user experience improve karta hai.,non-hate,N/A,#technology,Mixed,Positive
521,"Ye companies bas data steal karte hain, privacy gone.",hate,N/A,#technology,Mixed,Negative
522,5G rollout se internet speed next level hogi.,non-hate,N/A,#technology,Mixed,Positive
523,Ye player ka attitude team ko down karta hai.,hate,N/A,#sports,Mixed,Negative
524,India ka hockey comeback inspiring tha!,non-hate,N/A,#sports,Mixed,Positive
525,"Ye referees biased decisions dete hain, game spoil.",hate,N/A,#sports,Mixed,Negative
526,Workout se energy levels boost hote hain.,non-hate,N/A,#health,Mixed,Positive
527,Ye junk food khane walon ko health ka khayal nahi.,hate,N/A,#health,Mixed,Negative
528,Home remedies se minor ailments thik ho jate hain.,non-hate,N/A,#health,Mixed,Positive
529,"Ye private hospitals loot machate hain, affordable nahi.",hate,N/A,#health,Mixed,Negative
530,Online courses se learning accessible ho gaya hai.,non-hate,N/A,#education,Mixed,Positive
531,Ye school system bas marks pe focus karta hai.,hate,N/A,#education,Mixed,Negative
532,Practical skills sikhane se students confident bante hain.,non-hate,N/A,#education,Mixed,Positive
533,"Ye log recycling ignore karte hain, planet suffer karta.",hate,N/A,#environment,Mixed,Negative
534,Solar energy se electricity bills kam hote hain.,non-hate,N/A,#environment,Mixed,Positive
535,"Ye factories pollution badhate hain, strict laws chahiye.",hate,N/A,#environment,Mixed,Negative
536,India ka heritage world ko inspire karta hai.,non-hate,N/A,#nationalism,Mixed,Positive
537,Ye anti-India slogans tolerate nahi karne chahiye.,hate,N/A,#nationalism,Mixed,Negative
538,Ye foreign influence culture ko dilute karta hai.,hate,N/A,#nationalism,Mixed,Negative
539,Desh ka unity in diversity strength hai.,non-hate,N/A,#nationalism,Mixed,Positive
540,Ye corrupt officials system ko khokhla karte hain.,hate,N/A,#politics,Mixed,Negative
541,"Voting se democracy strong hoti hai, participate karo.",non-hate,N/A,#politics,Mixed,Positive
542,Ye TV debates bas shouting matches hote hain.,hate,N/A,#entertainment,Mixed,Negative
543,Ye short film ka message powerful tha.,non-hate,N/A,#entertainment,Mixed,Positive
544,Aaj ka commute smooth aur hassle-free tha.,non-hate,N/A,#daily life,Mixed,Positive
545,Ye rash drivers roads ko dangerous banate hain.,hate,N/A,#daily life,Mixed,Negative
546,Ye patriarchy supporters equality ko rokna chahte hain.,hate,N/A,#gender,Mixed,Negative
547,Women empowerment se society grow karti hai.,non-hate,N/A,#gender,Mixed,Positive
548,Ye internet trolls bas negativity spread karte hain.,hate,N/A,#technology,Mixed,Negative
549,Cloud storage se data management easy ho gaya.,non-hate,N/A,#technology,Mixed,Positive
550,Ye commentators biased opinions dete hain.,hate,N/A,#sports,Mixed,Negative
551,Ye tournament ka finale thrilling tha!,non-hate,N/A,#sports,Mixed,Positive
552,Ye quacks fake treatments se logon ko loot te hain.,hate,N/A,#health,Mixed,Negative
553,Healthy diet se immunity strong hoti hai.,non-hate,N/A,#health,Mixed,Positive
554,Ye exam system students ko stress deta hai.,hate,N/A,#education,Mixed,Negative
555,Group studies se concepts clear hote hain.,non-hate,N/A,#education,Mixed,Positive
556,Ye deforestation ke wajah se climate change badh raha.,hate,N/A,#environment,Mixed,Negative
557,Rainwater harvesting se water crisis kam ho sakti hai.,non-hate,N/A,#environment,Mixed,Positive
558,India ka startup ecosystem global level pe compete karta hai.,non-hate,N/A,#nationalism,Mixed,Positive
559,Ye regional parties bas vote bank ke liye kaam karte hain.,hate,N/A,#politics,Mixed,Negative
560,Transparent policies se trust badhta hai.,non-hate,N/A,#politics,Mixed,Positive
561,Ye celebrity endorsements fake aur paid hote hain.,hate,N/A,#entertainment,Mixed,Negative
562,Ye play ka direction flawless tha.,non-hate,N/A,#entertainment,Mixed,Positive
563,"Ye garmi unbearable ho rahi hai, AC zaroori hai.",non-hate,N/A,#daily life,Mixed,Negative
564,Ye litterbugs parks ko ganda karte hain.,hate,N/A,#daily life,Mixed,Negative
565,Ye racist comments unacceptable hain.,hate,N/A,#social issues,Mixed,Negative
566,Inclusion se community strong hoti hai.,non-hate,N/A,#social issues,Mixed,Positive
567,Ye gaming laptops overpriced aur overhyped hain.,hate,N/A,#technology,Mixed,Negative
568,Ye open-source software innovation ko support karta hai.,non-hate,N/A,#technology,Mixed,Positive
569,Ye coach ka strategy team ko fail kar raha hai.,hate,N/A,#sports,Mixed,Negative
570,Ye athlete ka dedication respect deserve karta hai.,non-hate,N/A,#sports,Mixed,Positive
571,Ye expensive treatments middle class ke liye impossible hain.,hate,N/A,#health,Mixed,Negative
572,Yoga se flexibility aur calm milta hai.,non-hate,N/A,#health,Mixed,Positive
573,Ye professors outdated methods use karte hain.,hate,N/A,#education,Mixed,Negative
574,Internships se practical exposure milta hai.,non-hate,N/A,#education,Mixed,Positive
575,"Ye waste management zero hai, cities drown in garbage.",hate,N/A,#environment,Mixed,Negative
576,Green initiatives se pollution control ho sakta hai.,non-hate,N/A,#environment,Mixed,Positive
577,India ka army world-class discipline dikhaata hai.,non-hate,N/A,#nationalism,Mixed,Positive
578,Ye traitors desh ka naam kharab karte hain.,hate,N/A,#nationalism,Mixed,Negative
579,Ye propaganda news channels public ko mislead karte hain.,hate,N/A,#politics,Mixed,Negative
580,Citizen feedback se governance improve hoti hai.,non-hate,N/A,#politics,Mixed,Positive
581,Ye influencers ka content shallow aur repetitive hai.,hate,N/A,#entertainment,Mixed,Negative
582,Ye book ka plot engaging aur unique tha.,non-hate,N/A,#entertainment,Mixed,Positive
583,Aaj ka coffee date refreshing aur fun tha.,non-hate,N/A,#daily life,Mixed,Positive
584,Ye overpriced cafes quality nahi dete.,hate,N/A,#daily life,Mixed,Negative
585,Ye orthodox log women ko oppress karte hain.,hate,N/A,#gender,Mixed,Negative
586,Equal opportunities se talent shine karta hai.,non-hate,N/A,#gender,Mixed,Positive
587,Ye hackers personal lives invade karte hain.,hate,N/A,#technology,Mixed,Negative
588,AI tools se productivity double ho jati hai.,non-hate,N/A,#technology,Mixed,Positive
589,Ye lazy teammates match haarne ka reason hain.,hate,N/A,#sports,Mixed,Negative
590,Team spirit se impossible wins possible hote hain.,non-hate,N/A,#sports,Mixed,Positive
591,Ye sugar-laden drinks health destroy karte hain.,hate,N/A,#health,Mixed,Negative
592,Herbal teas se digestion better hota hai.,non-hate,N/A,#health,Mixed,Positive
593,Ye college fees unjustified aur exploitative hain.,hate,N/A,#education,Mixed,Negative
594,Scholarships se deserving students ko chance milta hai.,non-hate,N/A,#education,Mixed,Positive
595,Ye illegal dumping rivers ko poison karta hai.,hate,N/A,#environment,Mixed,Negative
596,Eco-friendly products se sustainability badhti hai.,non-hate,N/A,#environment,Mixed,Positive
597,India ka folk art vibrant aur beautiful hai.,non-hate,N/A,#nationalism,Mixed,Positive
598,Ye globalization Indian traditions ko khatam kar raha.,hate,N/A,#nationalism,Mixed,Negative
599,Ye power-hungry leaders desh ko divide karte hain.,hate,N/A,#politics,Mixed,Negative
600,Grassroots movements se real change aata hai.,non-hate,N/A,#politics,Mixed,Positive
601,Ye cringe ads entertainment ka maza kharab karte hain.,hate,N/A,#entertainment,Mixed,Negative
602,Ye stand-up comedy show hilarious tha!,non-hate,N/A,#entertainment,Mixed,Positive
603,Ye humid weather mood off kar deta hai.,non-hate,N/A,#daily life,Mixed,Negative
604,Ye careless pedestrians accidents cause karte hain.,hate,N/A,#daily life,Mixed,Negative
605,Ye judgmental log inclusivity ko ruin karte hain.,hate,N/A,#social issues,Mixed,Negative
606,Mutual respect se society harmonious banta hai.,non-hate,N/A,#social issues,Mixed,Positive
607,Ye outdated phones ab useless ho gaye hain.,hate,N/A,#technology,Mixed,Negative
608,Wearable tech se fitness tracking easy ho gaya.,non-hate,N/A,#technology,Mixed,Positive
609,Ye overpaid players effort nahi dalte.,hate,N/A,#sports,Mixed,Negative
610,Ye underdog team ka win motivational tha!,non-hate,N/A,#sports,Mixed,Positive
611,Ye unhygienic clinics infections spread karte hain.,hate,N/A,#health,Mixed,Negative
612,Regular checkups se diseases prevent hote hain.,non-hate,N/A,#health,Mixed,Positive
